,release_year,duration
2136,2015,103
2137,2014,92
2138,2015,92
2139,2019,61
2140,2018,87
2141,2018,97
2142,2017,103
2143,2016,83
2144,2018,101
2145,2016,97
2146,2016,118
2147,2015,97
2148,2016,62
2149,2016,84
2150,2016,90
2151,2014,92
2153,2017,92
2155,2016,91
2156,2016,137
2158,2011,123
2159,2018,87
2161,2018,88
2163,2018,63
2164,2014,97
2165,2009,101
2167,1992,143
2168,2016,97
2169,2014,107
2170,2005,82
2171,2018,108
2172,2017,104
2173,2018,98
2174,2019,65
2175,2009,88
2176,2018,106
2178,2006,69
2179,2011,97
2180,2012,80
2181,2008,85
2182,2004,99
2183,2018,98
2186,2018,115
2188,2006,138
2189,2017,90
2192,2018,86
2193,2017,127
2194,2010,129
2195,2009,120
2196,2010,138
2197,2016,129
2198,2010,137
2199,2016,91
2201,2016,103
2202,2010,145
2203,2016,23
2204,2016,25
2205,2016,92
2206,2016,83
2208,1998,81
2209,2010,115
2211,2012,150
2213,2010,106
2215,2017,115
2216,2001,168
2217,2006,117
2218,2016,103
2219,2016,80
2220,2016,87
2221,2001,160
2222,2014,88
2223,2014,85
2224,2014,77
2226,2017,90
2227,2007,117
2228,2016,132
2229,2016,127
2230,2017,125
2231,2017,128
2232,2018,140
2233,2015,104
2235,2017,62
2239,2019,126
2241,2018,79
2242,2018,104
2245,2019,58
2246,2017,52
2247,2017,90
2250,2017,83
2251,2017,97
2253,2017,85
2254,2017,69
2255,2016,109
2256,2015,103
2257,2012,99
2259,2017,102
2260,2015,97
2261,2010,99
2262,2016,101
2263,2014,102
2264,2013,102
2265,2015,107
2266,2010,99
2267,2011,106
2268,2014,103
2269,2004,123
2270,2015,98
2271,2006,118
2272,2013,100
2273,2013,101
2274,2014,103
2275,2015,101
2276,2015,104
2277,2016,104
2278,2012,100
2279,2015,136
2280,2015,102
2282,2014,105
2283,2016,24
2284,2010,110
2285,2013,105
2286,2014,105
2287,2012,102
2288,2015,98
2289,2013,118
2290,2001,106
2291,2004,106
2292,2018,89
2293,2018,97
2294,2018,108
2295,2018,103
2296,2015,88
2298,2000,120
2299,2018,90
2301,2018,99
2302,2009,83
2303,2005,107
2304,2014,109
2305,2004,105
2308,2014,87
2309,2018,93
2310,2012,90
2311,2017,89
2312,2018,131
2313,2019,114
2314,2016,92
2315,2018,75
2316,2018,107
2317,2008,97
2319,2008,90
2320,2001,98
2321,2010,100
2322,2018,103
2324,2016,101
2325,2018,59
2326,2012,91
2327,2004,153
2328,2016,61
2329,2017,149
2330,2018,94
2331,2003,79
2332,2002,137
2334,2017,53
2335,1998,166
2336,2003,162
2337,2015,92
2338,2013,93
2339,2007,155
2340,2000,158
2341,2017,138
2342,1999,151
2343,2010,96
2344,2017,106
2345,2005,141
2346,2006,127
2347,2015,130
2348,2013,140
2349,2017,145
2350,2015,132
2351,2017,41
2352,2017,110
2353,1993,170
2354,2003,157
2355,2004,165
2356,2017,114
2357,2016,143
2358,2016,106
2360,2013,73
2361,2012,71
2362,2005,161
2363,1997,187
2364,2002,127
2365,2000,165
2366,2015,117
2367,2004,134
2368,2017,116
2369,2016,94
2370,2002,168
2371,2012,109
2372,2002,148
2373,2008,135
2374,2017,127
2375,2017,115
2376,2017,150
2377,2017,87
2378,2014,127
2379,2004,185
2380,2014,75
2381,1999,177
2382,2015,81
2383,2010,137
2384,2017,118
2385,2015,124
2386,2014,123
2387,2017,90
2388,2015,91
2389,2016,87
2390,2014,89
2391,2014,81
2392,2008,47
2393,2004,46
2394,1995,173
2395,2017,108
2396,2016,125
2397,2015,124
2398,2008,137
2399,2001,171
